State,Metric,Score,Year
New South Wales,Affordability,55.9,2015
New South Wales,Digital Ability,44.2,2015
New South Wales,Digital Inclusion Index,54.9,2015
Victoria,Access,65.4,2015
Victoria,Affordability,53.6,2015
Victoria,Digital Ability,44.5,2015
Victoria,Digital Inclusion Index,54.5,2015
Queensland,Access,64.1,2015
Queensland,Affordability,52.1,2015
Queensland,Digital Ability,44.0,2015
Queensland,Digital Inclusion Index,53.4,2015
South Australia,Access,62.5,2015
South Australia,Affordability,48.3,2015
South Australia,Digital Ability,43.2,2015
South Australia,Digital Inclusion Index,51.3,2015
Western Australia,Access,65.4,2015
Western Australia,Affordability,58.0,2015
Western Australia,Digital Ability,45.8,2015
Western Australia,Digital Inclusion Index,56.4,2015
Tasmania,Access,61.2,2015
Tasmania,Affordability,52.0,2015
Tasmania,Digital Ability,39.4,2015
Tasmania,Digital Inclusion Index,50.9,2015
Australian Capital Territory,Access,70.7,2015
Australian Capital Territory,Affordability,64.0,2015
Australian Capital Territory,Digital Ability,51.7,2015
Australian Capital Territory,Digital Inclusion Index,62.1,2015
Northern Territory,Access,67.5,2015
Northern Territory,Affordability,57.3,2015
Northern Territory,Digital Ability,50.3,2015
Northern Territory,Digital Inclusion Index,58.4,2015
New South Wales,Access,63.8,2014
New South Wales,Affordability,58.7,2014
New South Wales,Digital Ability,42.2,2014
New South Wales,Digital Inclusion Index,54.9,2014
Victoria,Access,65.1,2014
Victoria,Affordability,55.1,2014
Victoria,Digital Ability,42.6,2014
Victoria,Digital Inclusion Index,54.3,2014
Queensland,Access,64.0,2014
Queensland,Affordability,52.7,2014
Queensland,Digital Ability,42.6,2014
Queensland,Digital Inclusion Index,53.1,2014
South Australia,Access,61.3,2014
South Australia,Affordability,52.1,2014
South Australia,Digital Ability,37.7,2014
South Australia,Digital Inclusion Index,50.3,2014
Western Australia,Access,63.5,2014
Western Australia,Affordability,58.4,2014
Western Australia,Digital Ability,43.0,2014
Western Australia,Digital Inclusion Index,55.0,2014
Tasmania,Access,58.7,2014
Tasmania,Affordability,53.5,2014
Tasmania,Digital Ability,39.0,2014
Tasmania,Digital Inclusion Index,50.4,2014
Australian Capital Territory,Access,67.5,2014
Australian Capital Territory,Affordability,62.1,2014
Australian Capital Territory,Digital Ability,51.3,2014
Australian Capital Territory,Digital Inclusion Index,60.3,2014
Northern Territory,Access,64.0,2014
Northern Territory,Affordability,57.5,2014
Northern Territory,Digital Ability,41.5,2014
Northern Territory,Digital Inclusion Index,54.3,2014
